username,artistname,track name
LordTrixx,Hans Zimmer,Day One (Interstellar Theme)
LordTrixx,Future,Mask Off
LordTrixx,twenty one pilots,Heavydirtysoul
LordTrixx,Kanye West,Flashing Lights
LordTrixx,Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder)
LordTrixx,Linkin Park,New Divide
LordTrixx,twenty one pilots,Tear in My Heart
LordTrixx,Coolio,Gangsta's Paradise
LordTrixx,Coldplay,Paradise
LordTrixx,Linkin Park,In the End
LordTrixx,Post Malone,Hollywood's Bleeding
LordTrixx,Nas,The World Is Yours
LordTrixx,Travis Scott,SIRENS
LordTrixx,Baby Keem,HONEST
LordTrixx,Tame Impala,Yes I'm Changing
LordTrixx,Yasuharu Takanashi,失意
LordTrixx,Juice WRLD,Lean Wit Me
LordTrixx,Linkin Park,One Step Closer
LordTrixx,"Tyler, the Creator",Potato Salad
LordTrixx,Kanye West,Jonah
LordTrixx,Deftones,Passenger
LordTrixx,J. Cole,Neighbors
LordTrixx,Dr. Dre,The Next Episode
LordTrixx,The Weeknd,Save Your Tears
LordTrixx,Lil Wayne,It's Good
LordTrixx,ogryzek,EMPIRE
LordTrixx,Radiohead,No Surprises
LordTrixx,Drake,Successful (feat. Trey Songz & Lil Wayne)
LordTrixx,Kanye West,Real Friends
LordTrixx,Yasuharu Takanashi,五月雨
LordTrixx,Dire Straits,Southbound Again
LordTrixx,Eminem,"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)"
LordTrixx,J. Cole,p r i d e . i s . t h e . d e v i l (with Lil Baby)
LordTrixx,Arianne,"Komm,susser Tod (Mー10 Director's Edit.Version)"
LordTrixx,Eminem,White America
LordTrixx,Pink Floyd,Dogs
LordTrixx,Lil Wayne,Best Rapper Alive
LordTrixx,Eminem,Not Afraid
LordTrixx,Yasuharu Takanashi,紅炎
LordTrixx,Lil Wayne,Comfortable
LordTrixx,Don Toliver,Bandit
LordTrixx,Juice WRLD,Conversations
LordTrixx,Juice WRLD,Lucid Dreams
LordTrixx,Pop Smoke,Welcome to the Party
LordTrixx,glichery,Sea Of Problems
LordTrixx,Kanye West,Blood on the Leaves
LordTrixx,Guns N' Roses,Sweet Child o' Mine
LordTrixx,Linkin Park,What I've Done
LordTrixx,J. Cole,No Role Modelz
LordTrixx,The Weeknd,Wanderlust
LordTrixx,twenty one pilots,Heathens
LordTrixx,Lupe Fiasco,Battle Scars (With Guy Sebastian)
LordTrixx,Travis Scott,Escape Plan
LordTrixx,Spektrem,Shine
LordTrixx,Van Halen,Hot for Teacher - 2015 Remaster
LordTrixx,Kverz,Vou Vou
LordTrixx,Mountain,Mississippi Queen
LordTrixx,Deftones,Digital Bath
LordTrixx,Europe,The Final Countdown
LordTrixx,Kid Cudi,Day 'n' Nite
LordTrixx,Lady Gaga,Telephone
LordTrixx,Eminem,Bitch Please II
LordTrixx,"Tyler, the Creator",CORSO
LordTrixx,Kendrick Lamar,United in Grief
LordTrixx,Kanye West,Two Words
LordTrixx,The Weeknd,Dark Times
LordTrixx,Daft Punk,Digital Love
LordTrixx,Masatoshi Ono,Departure!
LordTrixx,Arctic Monkeys,505
LordTrixx,Linkin Park,One Step Closer
LordTrixx,Sid,乱舞のメロディ
LordTrixx,Lady Gaga,Telephone
LordTrixx,Hans Zimmer,Time
LordTrixx,Kanye West,Moon
LordTrixx,Dire Straits,Southbound Again
LordTrixx,Juice WRLD,Candles
LordTrixx,サンボマスター,青春狂騒曲
LordTrixx,Van Halen,Eruption - 2015 Remaster
LordTrixx,Dire Straits,Calling Elvis
LordTrixx,MoonDeity,WAKE UP!
LordTrixx,Meek Mill,Going Bad (feat. Drake)
LordTrixx,Soundgarden,Black Hole Sun
LordTrixx,"Tyler, the Creator",Potato Salad
LordTrixx,Pink Floyd,Not Now John
LordTrixx,Van Halen,Girl Gone Bad - 2015 Remaster
LordTrixx,Travis Scott,wonderful
LordTrixx,Lil Tjay,Calling My Phone
LordTrixx,Travis Scott,MY EYES
LordTrixx,Pink Floyd,Money
LordTrixx,Chemistry,Period
LordTrixx,Miki Matsubara,Mayonaka no Door / Stay With Me
LordTrixx,Queen,Don't Stop Me Now
LordTrixx,Deftones,Be Quiet and Drive (Far Away)
LordTrixx,Nino Rota,The Godfather Waltz (Main Title)
LordTrixx,Future,Thought It Was a Drought
LordTrixx,A$AP Rocky,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)"
LordTrixx,Pink Floyd,The Great Gig in the Sky
LordTrixx,Kanye West,Hey Mama
LordTrixx,Lady Gaga,Paparazzi
LordTrixx,Pitbull,International Love (feat. Chris Brown)
LordTrixx,Kanye West,Addiction
LordTrixx,Bryan Adams,Summer of '69
LordTrixx,Sid,嘘
LordTrixx,Looking Glass,Brandy (You're A Fine Girl)
LordTrixx,Young Thug,Stressed (with J. Cole & T-Shyne)
LordTrixx,Kanye West,Gone
LordTrixx,Polo G,Go Stupid
LordTrixx,Kanye West,Ghost Town
LordTrixx,Avicii,Without You (feat. Sandro Cavazza)
LordTrixx,Avicii,Waiting for Love
LordTrixx,Avicii,Hey Brother
LordTrixx,Coldplay,Viva la Vida
LordTrixx,Green Day,Basket Case
LordTrixx,Lynyrd Skynyrd,Sweet Home Alabama
LordTrixx,The Cranberries,Zombie
LordTrixx,The Beatles,All My Loving - Remastered 2009
LordTrixx,Tame Impala,The Less I Know the Better
LordTrixx,Michael Jackson,Billie Jean
LordTrixx,Tears for Fears,Everybody Wants to Rule the World
LordTrixx,Sum 41,Pieces
LordTrixx,Kanye West,I Wonder
LordTrixx,Nirvana,Heart-Shaped Box
LordTrixx,Lil Wayne,T.O. (ft. O.T. Genasis)
LordTrixx,Lil Wayne,T.O. (ft. O.T. Genasis)
LordTrixx,Metallica,Nothing Else Matters - Remastered 2021
LordTrixx,Roddy Ricch,The Box
LordTrixx,KIDS SEE GHOSTS,Reborn
LordTrixx,Bruno Mars,Finesse
LordTrixx,Madvillain,All Caps
LordTrixx,The Weeknd,Faith
LordTrixx,Tame Impala,Reality in Motion
LordTrixx,Kanye West,Heaven and Hell
LordTrixx,Kanye West,Black Skinhead
LordTrixx,Daft Punk,Digital Love
LordTrixx,Tame Impala,"New Person, Same Old Mistakes"
LordTrixx,Pusha T,Sweet Serenade
LordTrixx,"Tyler, the Creator",GROUP B
LordTrixx,Lil Uzi Vert,Canadian Goose
LordTrixx,Baby Keem,family ties (with Kendrick Lamar)
LordTrixx,The Weeknd,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series)
LordTrixx,Pink Floyd,Wish You Were Here
LordTrixx,Linkin Park,Numb
LordTrixx,J. Cole,Ville Mentality
LordTrixx,Eminem,Not Afraid
LordTrixx,Guns N' Roses,Don't Cry (Original)
LordTrixx,The Beatles,A Hard Day's Night - Remastered 2009
LordTrixx,Redbone,Come and Get Your Love - Single Version
LordTrixx,Juice WRLD,All Girls Are the Same
LordTrixx,Kavinsky,Nightcall
LordTrixx,Bruce Springsteen,Born in the U.S.A.
LordTrixx,Dire Straits,Brothers In Arms - Remastered 1996
LordTrixx,The Weeknd,In the Night
LordTrixx,Eminem,Without Me
LordTrixx,Jukio Kallio,Fall 'N' Roll
LordTrixx,Chuck Berry,Run Rudolph Run
LordTrixx,Lynyrd Skynyrd,Sweet Home Alabama
LordTrixx,Kendrick Lamar,squabble up
LordTrixx,"Tyler, the Creator",WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign)
LordTrixx,Kanye West,Touch the Sky
LordTrixx,Pusha T,S.N.I.T.C.H.
LordTrixx,Eminem,Crack a Bottle
LordTrixx,Pusha T,Body Work
